quadrat,block,strip,weed_trt,species,weed_trt_density,rye_trt,canopy_percent,canopy_ratio,rye_g,weed_g,rye_biomass,weed_biomass,number_plants,biomass_f,biomass_m,seed_wt_f,weed_wt_m,total_mf_bio_wh,f_biomass_per_capita
111,1,11,50WH,WH,50,ldr,36.05,0.3605,193.4,0,7736,na,0,0,0,0,0,0,0
112,1,11,500WH,WH,500,ldr,40.42,0.4042,193.4,0,7736,na,0,0,0,0,0,0,0
113,1,11,8RW,RW,8,ldr,44.63,0.4463,193.4,0,7736,na,na,0,0,0,0,0,0
114,1,11,80RW,RW,80,ldr,57.34,0.5734,193.4,0,7736,na,0,0,0,0,0,0,0
115,1,11,800RW,RW,800,ldr,47.64,0.4764,193.4,0,7736,na,0,0,0,0,0,0,0
116,1,11,5000WH,WH,5000,ldr,38.77,0.3877,193.4,0,7736,na,0,0,0,0,0,0,0
117,1,11,50000WH,WH,50000,ldr,31.72,0.3172,193.4,0,7736,na,0,0,0,0,0,0,0
118,1,11,0RW,RW,0,ldr,49.95,0.4995,193.4,0,7736,na,0,0,0,0,0,0,0
119,1,11,8000RW,RW,8000,ldr,54.07,0.5407,193.4,0,7736,na,0,0,0,0,0,0,0
121,1,12,8RW,RW,8,bare,0.55,0.0055,0,46.5,0,1860,0,0,0,0,0,0,0
122,1,12,5000WH,WH,5000,bare,0.41,0.0041,0,46.5,0,1860,0,0,0,0,0,0,0
123,1,12,500WH,WH,500,bare,1.7,0.017,0,46.5,0,1860,0,0,0,0,0,0,0
124,1,12,50WH,WH,50,bare,1.82,0.0182,0,46.5,0,1860,0,0,0,0,0,0,0
125,1,12,80RW,RW,80,bare,1.94,0.0194,0,46.5,0,1860,0,0,0,0,0,0,0
126,1,12,800RW,RW,800,bare,2.91,0.0291,0,46.5,0,1860,0,0,0,0,0,0,0
127,1,12,8000RW,RW,8000,bare,3.97,0.0397,0,46.5,0,1860,0,0,0,0,0,0,0
128,1,12,50000WH,WH,50000,bare,3.12,0.0312,0,46.5,0,1860,0,0,0,0,0,0,0
129,1,12,0RW,RW,0,bare,2.89,0.0289,0,46.5,0,1860,0,0,0,0,0,0,0
131,1,13,50000WH,WH,50000,ldshoots,41.77,0.4177,123.7,0,4948,na,0,0,0,0,0,0,0
132,1,13,8RW,RW,8,ldshoots,36.32,0.3632,123.7,0,4948,na,0,0,0,0,0,0,0
133,1,13,0RW,RW,0,ldshoots,36.52,0.3652,123.7,0,4948,na,0,0,0,0,0,0,0
134,1,13,8000RW,RW,8000,ldshoots,31.94,0.3194,123.7,0,4948,na,0,0,0,0,0,0,0
135,1,13,80RW,RW,80,ldshoots,34.81,0.3481,123.7,0,4948,na,0,0,0,0,0,0,0
136,1,13,50WH,WH,50,ldshoots,47.27,0.4727,123.7,0,4948,na,0,0,0,0,0,0,0
137,1,13,500WH,WH,500,ldshoots,46.26,0.4626,123.7,0,4948,na,0,0,0,0,0,0,0
138,1,13,5000WH,WH,5000,ldshoots,66.67,0.6667,123.7,0,4948,na,0,0,0,0,0,0,0
139,1,13,800RW,RW,800,ldshoots,66.06,0.6606,123.7,0,4948,na,0,0,0,0,0,0,0
141,1,14,500WH,WH,500,hdr,22.48,0.2248,167.7,0,6708,na,0,0,0,0,0,0,0
142,1,14,0RW,RW,0,hdr,26.77,0.2677,167.7,0,6708,na,0,0,0,0,0,0,0
143,1,14,8RW,RW,8,hdr,28.17,0.2817,167.7,0,6708,na,0,0,0,0,0,0,0
144,1,14,8000RW,RW,8000,hdr,27.87,0.2787,167.7,0,6708,na,0,0,0,0,0,0,0
145,1,14,50000WH,WH,50000,hdr,39.91,0.3991,167.7,0,6708,na,0,0,0,0,0,0,0
146,1,14,5000WH,WH,5000,hdr,31.75,0.3175,167.7,0,6708,na,0,0,0,0,0,0,0
147,1,14,80RW,RW,80,hdr,35.74,0.3574,167.7,0,6708,na,0,0,0,0,0,0,0
148,1,14,800RW,RW,800,hdr,39.98,0.3998,167.7,0,6708,na,0,0,0,0,0,0,0
149,1,14,50WH,WH,50,hdr,42.11,0.4211,167.7,0,6708,na,0,0,0,0,0,0,0
151,1,15,8RW,RW,8,hdshoots,37.82,0.3782,128,0,5120,na,0,0,0,0,0,0,0
152,1,15,50WH,WH,50,hdshoots,32.51,0.3251,128,0,5120,na,0,0,0,0,0,0,0
153,1,15,50000WH,WH,50000,hdshoots,47.19,0.4719,128,0,5120,na,0,0,0,0,0,0,0
154,1,15,500WH,WH,500,hdshoots,43,0.43,128,0,5120,na,0,0,0,0,0,0,0
155,1,15,5000WH,WH,5000,hdshoots,50.89,0.5089,128,0,5120,na,0,0,0,0,0,0,0
156,1,15,0RW,RW,0,hdshoots,43.43,0.4343,128,0,5120,na,0,0,0,0,0,0,0
157,1,15,8000RW,RW,8000,hdshoots,45.29,0.4529,128,0,5120,na,0,0,0,0,0,0,0
158,1,15,80RW,RW,80,hdshoots,48.85,0.4885,128,0,5120,na,0,0,0,0,0,0,0
159,1,15,800RW,RW,800,hdshoots,51.81,0.5181,128,0,5120,na,0,0,0,0,0,0,0
211,2,21,8000RW,RW,8000,hdshoots,56.85,0.5685,167.8,0,6712,na,na,0.7,na,0.3,na,na,na
212,2,21,50WH,WH,50,hdshoots,58.14,0.5814,167.8,0,6712,na,0,0,0,0,0,0,0
213,2,21,50000WH,WH,50000,hdshoots,42.87,0.4287,167.8,0,6712,na,41,4.2,2.8,1.4,*,7,0.102439024
214,2,21,0RW,RW,0,hdshoots,44.76,0.4476,167.8,0,6712,na,0,0,0,0,0,0,0
215,2,21,80RW,RW,80,hdshoots,56.84,0.5684,167.8,0,6712,na,0,0,0,0,0,0,0
216,2,21,8RW,RW,8,hdshoots,40.54,0.4054,167.8,0,6712,na,0,0,0,0,0,0,0
217,2,21,500WH,WH,500,hdshoots,50.93,0.5093,167.8,0,6712,na,0,0,0,0,0,0,0
218,2,21,5000WH,WH,5000,hdshoots,51.07,0.5107,167.8,0,6712,na,1,0.7,0,0.21,0,0.7,0.7
219,2,21,800RW,RW,800,hdshoots,37.91,0.3791,167.8,0,6712,na,0,0,0,0,0,0,0
221,2,22,50WH,WH,50,ldshoots,51.07,0.5107,132.9,0,5316,na,0,0,0,0,0,0,0
222,2,22,8000RW,RW,8000,ldshoots,45.45,0.4545,132.9,0,5316,na,0,0,0,0,0,0,0
223,2,22,50000WH,WH,50000,ldshoots,40.19,0.4019,132.9,0,5316,na,6,0.05,0.7,0.07,0.14,0.75,0.008333333
224,2,22,500WH,WH,500,ldshoots,50.46,0.5046,132.9,0,5316,na,0,0,0,0,0,0,0
225,2,22,8RW,RW,8,ldshoots,47.85,0.4785,132.9,0,5316,na,0,0,0,0,0,0,0
226,2,22,0RW,RW,0,ldshoots,45.4,0.454,132.9,0,5316,na,0,0,0,0,0,0,0
227,2,22,5000WH,WH,5000,ldshoots,42.42,0.4242,132.9,0,5316,na,0,0,0.2,na,0,0.2,0
228,2,22,80RW,RW,80,ldshoots,40.56,0.4056,132.9,0,5316,na,0,0,0,0,0,0,0
229,2,22,800RW,RW,800,ldshoots,48.88,0.4888,132.9,0,5316,na,0,0,0,0,0,0,0
231,2,23,50000WH,WH,50000,bare,0.97,0.0097,0,31.9,0,1276,55,32.9,21,10.2,3.53,53.9,0.598181818
232,2,23,8000RW,RW,8000,bare,0.5,0.005,0,31.9,0,1276,na,56.7,na,19,na,na,na
233,2,23,800RW,RW,800,bare,1.02,0.0102,0,31.9,0,1276,na,48.5,na,19,na,na,na
234,2,23,8RW,RW,8,bare,0.39,0.0039,0,31.9,0,1276,0,0,0,0,0,0,0
235,2,23,500WH,WH,500,bare,0.43,0.0043,0,31.9,0,1276,1,26.9,0,7.9,0,26.9,26.9
236,2,23,80RW,RW,80,bare,1.67,0.0167,0,31.9,0,1276,0,0,0,0,0,0,0
237,2,23,5000WH,WH,5000,bare,1.66,0.0166,0,31.9,0,1276,3,9.1,4,2.7,0.68,13.1,3.033333333
238,2,23,0RW,RW,0,bare,1.23,0.0123,0,31.9,0,1276,0,0,0,0,0,0,0
239,2,23,50WH,WH,50,bare,0.29,0.0029,0,31.9,0,1276,2,25,0,5.5,0,25,12.5
241,2,24,0RW,RW,0,hdr,44.47,0.4447,139.1,0,5564,na,0,0,0,0,0,0,0
242,2,24,8000RW,RW,8000,hdr,48.29,0.4829,139.1,0,5564,na,na,16.1,na,4.1,na,na,na
243,2,24,500WH,WH,500,hdr,56.47,0.5647,139.1,0,5564,na,0,0,1.2,0,0.3,1.2,0
244,2,24,80RW,RW,80,hdr,53.06,0.5306,139.1,0,5564,na,0,0,0,0,0,0,0
245,2,24,50WH,WH,50,hdr,58.6,0.586,139.1,0,5564,na,0,0,0,0,0,0,0
246,2,24,50000WH,WH,50000,hdr,55.91,0.5591,139.1,0,5564,na,17,5.8,2.4,2.4,*,8.2,0.341176471
247,2,24,800RW,RW,800,hdr,45.55,0.4555,139.1,0,5564,na,0,0,0,0,0,0,0
248,2,24,8RW,RW,8,hdr,45.13,0.4513,139.1,0,5564,na,0,0,0,0,0,0,0
249,2,24,5000WH,WH,5000,hdr,39.06,0.3906,139.1,0,5564,na,5,5.4,0.2,1.8,*,5.6,1.08
251,2,25,8000RW,RW,8000,ldr,65.51,0.6551,151,0,6040,na,na,0.5,na,0.22,na,na,na
252,2,25,50WH,WH,50,ldr,45.81,0.4581,151,0,6040,na,0,0,0,0,0,0,0
253,2,25,500WH,WH,500,ldr,38.57,0.3857,151,0,6040,na,2,16.4,0,6.5,0,16.4,8.2
254,2,25,80RW,RW,80,ldr,45.26,0.4526,151,0,6040,na,0,0,0,0,0,0,0
255,2,25,8RW,RW,8,ldr,44.9,0.449,151,0,6040,na,0,0,0,0,0,0,0
256,2,25,0RW,RW,0,ldr,37.47,0.3747,151,0,6040,na,0,0,0,0,0,0,0
257,2,25,5000WH,WH,5000,ldr,37.92,0.3792,151,0,6040,na,10,12.2,3.7,3.1,0.63,15.9,1.22
258,2,25,800RW,RW,800,ldr,29.25,0.2925,151,0,6040,na,0,0,0,0,0,0,0
259,2,25,50000WH,WH,50000,ldr,26.86,0.2686,151,0,6040,na,23,15,4.6,4.1,1,19.6,0.652173913
310,3,31,0RW,RW,0,ldshoots,43.15,0.4315,161.7,0,6468,na,0,0,0,0,0,0,0
311,3,31,500WH,WH,500,ldshoots,46.71,0.4671,161.7,0,6468,na,0,0,0,0,0,0,0
312,3,31,50WH,WH,50,ldshoots,37.57,0.3757,161.7,0,6468,na,0,0,0,0,0,0,0
313,3,31,5000WH,WH,5000,ldshoots,30.98,0.3098,161.7,0,6468,na,3,0.1,0.3,0.08,*,0.4,0.033333333
314,3,31,8000RW,RW,8000,ldshoots,31.17,0.3117,161.7,0,6468,na,na,1.4,na,0.5,na,na,na
315,3,31,800RW,RW,800,ldshoots,33.79,0.3379,161.7,0,6468,na,0,0,0,0,0,0,0
316,3,31,50000WH,WH,50000,ldshoots,45.69,0.4569,161.7,0,6468,na,61,5.4,1.8,1.1,*,7.2,0.08852459
317,3,31,200000WH,WH,200000,ldshoots,45.46,0.4546,161.7,0,6468,na,96,9.4,4.7,2.7,*,14.1,0.097916667
318,3,31,80RW,RW,80,ldshoots,47.91,0.4791,161.7,0,6468,na,0,0,0,0,0,0,0
319,3,31,8RW,RW,8,ldshoots,41.73,0.4173,161.7,0,6468,na,0,0,0,0,0,0,0
320,3,32,500WH,WH,500,bare,1,0.01,0,12.4,0,496,1,0,0,0,0,0,0
321,3,32,200000WH,WH,200000,bare,0.23,0.0023,0,12.4,0,496,46,12.9,8.3,4,1.59,21.2,0.280434783
322,3,32,8RW,RW,8,bare,0.25,0.0025,0,12.4,0,496,0,0,0,0,0,0,0
323,3,32,800RW,RW,800,bare,0.16,0.0016,0,12.4,0,496,0,0,0,0,0,0,0
324,3,32,0RW,RW,0,bare,0.13,0.0013,0,12.4,0,496,0,0,0,0,0,0,0
325,3,32,50WH,WH,50,bare,0.24,0.0024,0,12.4,0,496,2,26.4,0,7.2,0,26.4,13.2
326,3,32,80RW,RW,80,bare,0.32,0.0032,0,12.4,0,496,0,0,0,0,0,0,0
327,3,32,8000RW,RW,8000,bare,0.91,0.0091,0,12.4,0,496,0,0,0,0,0,0,0
328,3,32,50000WH,WH,50000,bare,0.88,0.0088,0,12.4,0,496,74,53.1,19,19.8,*,72.1,0.717567568
329,3,32,5000WH,WH,5000,bare,1.02,0.0102,0,12.4,0,496,2,10.6,0.4,3.5,*,11,5.3
330,3,33,8RW,RW,8,hdr,43.83,0.4383,172.1,0,6884,na,0,0,0,0,0,0,0
331,3,33,5000WH,WH,5000,hdr,75.67,0.7567,172.1,0,6884,na,9,2.3,1.1,0.9,*,3.4,0.255555556
332,3,33,80RW,RW,80,hdr,61.25,0.6125,172.1,0,6884,na,0,0,0,0,0,0,0
333,3,33,8000RW,RW,8000,hdr,56.6,0.566,172.1,0,6884,na,na,38.4,na,14.1,na,na,na
334,3,33,50000WH,WH,50000,hdr,53.63,0.5363,172.1,0,6884,na,196,32,11.8,13.5,*,43.8,0.163265306
335,3,33,500WH,WH,500,hdr,55.27,0.5527,172.1,0,6884,na,2,9.6,1.5,3.8,*,11.1,4.8
336,3,33,200000WH,WH,200000,hdr,42.4,0.424,172.1,0,6884,na,83,34.6,7.5,12,*,42.1,0.41686747
337,3,33,50WH,WH,50,hdr,41.18,0.4118,172.1,0,6884,na,1,5.4,0.7,1.4,*,6.1,5.4
338,3,33,800RW,RW,800,hdr,42.25,0.4225,172.1,0,6884,na,0,0,0,0,0,0,0
339,3,33,0RW,RW,0,hdr,39.11,0.3911,172.1,0,6884,na,0,0,0,0,0,0,0
340,3,34,200000WH,WH,200000,hdshoots,34.99,0.3499,141.1,0,5644,na,57,22,7.8,7,*,29.8,0.385964912
341,3,34,80RW,RW,80,hdshoots,59.64,0.5964,141.1,0,5644,na,0,0,0,0,0,0,0
342,3,34,50WH,WH,50,hdshoots,48.91,0.4891,141.1,0,5644,na,0,0,0,0,0,0,0
343,3,34,8RW,RW,8,hdshoots,43.39,0.4339,141.1,0,5644,na,0,0,0,0,0,0,0
344,3,34,800RW,RW,800,hdshoots,41.92,0.4192,141.1,0,5644,na,0,0,0,0,0,0,0
345,3,34,50000WH,WH,50000,hdshoots,43.07,0.4307,141.1,0,5644,na,23,8.2,5.8,3.6,*,14,0.356521739
346,3,34,0RW,RW,0,hdshoots,39.37,0.3937,141.1,0,5644,na,0,0,0,0,0,0,0
347,3,34,5000WH,WH,5000,hdshoots,38.53,0.3853,141.1,0,5644,na,5,1.5,1,0.5,*,2.5,0.3
348,3,34,8000RW,RW,8000,hdshoots,41.5,0.415,141.1,0,5644,na,na,13.2,na,7.2,na,na,na
349,3,34,500WH,WH,500,hdshoots,38.27,0.3827,141.1,0,5644,na,2,7.3,0,1.7,0,7.3,3.65
350,3,35,5000WH,WH,5000,ldr,38.68,0.3868,164.6,0,6584,na,10,4.2,1.4,2,*,5.6,0.42
351,3,35,8000RW,RW,8000,ldr,41.45,0.4145,164.6,0,6584,na,na,27.3,na,15.3,na,na,na
352,3,35,80RW,RW,80,ldr,44.76,0.4476,164.6,0,6584,na,0,0,0,0,0,0,0
353,3,35,200000WH,WH,200000,ldr,38.08,0.3808,164.6,0,6584,na,143,20.4,5.8,6.9,*,26.2,0.142657343
354,3,35,50000WH,WH,50000,ldr,43.11,0.4311,164.6,0,6584,na,120,11.5,3.7,4.8,*,15.2,0.095833333
355,3,35,8RW,RW,8,ldr,35.05,0.3505,164.6,0,6584,na,0,0,0,0,0,0,0
356,3,35,500WH,WH,500,ldr,36.74,0.3674,164.6,0,6584,na,1,0.4,1,0.1,*,1.4,0.4
357,3,35,800RW,RW,800,ldr,35.05,0.3505,164.6,0,6584,na,na,1.7,na,0.2,na,na,na
358,3,35,0RW,RW,0,ldr,34.81,0.3481,164.6,0,6584,na,0,0,0,0,0,0,0
359,3,35,50WH,WH,50,ldr,38.24,0.3824,164.6,0,6584,na,0,0,0,0,0,0,0
411,4,41,50WH,WH,50,bare,1.88,0.0188,0,6.8,0,272,0,0,1.4,na,0.38,1.4,0
412,4,41,800RW,RW,800,bare,0.41,0.0041,0,6.8,0,272,na,1.1,na,0.3,na,na,na
413,4,41,0RW,RW,0,bare,0.33,0.0033,0,6.8,0,272,0,0,0,0,0,0,0
414,4,41,500WH,WH,500,bare,0.19,0.0019,0,6.8,0,272,0,0,0,0,0,0,0
415,4,41,50000WH,WH,50000,bare,0.15,0.0015,0,6.8,0,272,33,27.4,6.6,8.3,1.02,34,0.83030303
416,4,41,80RW,RW,80,bare,0.02,0.0002,0,6.8,0,272,0,0,0,0,0,0,0
417,4,41,8000RW,RW,8000,bare,0.07,0.0007,0,6.8,0,272,na,169.7,na,78.5,na,na,na
418,4,41,5000WH,WH,5000,bare,0.09,0.0009,0,6.8,0,272,2,18.7,1.4,6.9,0,20.1,9.35
419,4,41,8RW,RW,8,bare,0.12,0.0012,0,6.8,0,272,0,0,0,0,0,0,0
421,4,42,80RW,RW,80,hdshoots,49.83,0.4983,129.9,0,5196,na,0,0,0,0,0,0,0
422,4,42,8RW,RW,8,hdshoots,46.01,0.4601,129.9,0,5196,na,0,0,0,0,0,0,0
423,4,42,5000WH,WH,5000,hdshoots,33.37,0.3337,129.9,0,5196,na,1,6.5,0.2,1.9,0,6.7,6.5
424,4,42,50WH,WH,50,hdshoots,39.9,0.399,129.9,0,5196,na,0,0,0,0,0,0,0
425,4,42,0RW,RW,0,hdshoots,32.4,0.324,129.9,0,5196,na,0,0,0,0,0,0,0
426,4,42,8000RW,RW,8000,hdshoots,36.2,0.362,129.9,0,5196,na,na,0.1,na,0.05,na,na,na
427,4,42,800RW,RW,800,hdshoots,36.72,0.3672,129.9,0,5196,na,na,0.3,na,0.18,na,na,na
428,4,42,50000WH,WH,50000,hdshoots,38.8,0.388,129.9,0,5196,na,3,0.4,0.04,0.19,*,0.44,0.133333333
429,4,42,500WH,WH,500,hdshoots,30.04,0.3004,129.9,0,5196,na,0,0,0,0,0,0,0
431,4,43,500WH,WH,500,ldr,29.92,0.2992,168.1,0,6724,na,2,28.9,1.9,9.4,0.44,30.8,14.45
432,4,43,0RW,RW,0,ldr,45.63,0.4563,168.1,0,6724,na,0,0,0,0,0,0,0
433,4,43,5000WH,WH,5000,ldr,51.17,0.5117,168.1,0,6724,na,?,35.7,5.8,10.5,1.08,41.5,0
434,4,43,8RW,RW,8,ldr,54.2,0.542,168.1,0,6724,na,0,0,0,0,0,0,0
435,4,43,50WH,WH,50,ldr,47.57,0.4757,168.1,0,6724,na,0,0,0,0,0,0,0
436,4,43,50000WH,WH,50000,ldr,44.9,0.449,168.1,0,6724,na,94,32.7,8,10.9,1.78,40.7,0.34787234
437,4,43,8000RW,RW,8000,ldr,37.31,0.3731,168.1,0,6724,na,na,1.1,na,0.3,na,na,na
438,4,43,80RW,RW,80,ldr,43.35,0.4335,168.1,0,6724,na,0,0,0,0,0,0,0
439,4,43,800RW,RW,800,ldr,37.02,0.3702,168.1,0,6724,na,0,0,0,0,0,0,0
441,4,44,0RW,RW,0,hdr,25.14,0.2514,164.7,0,6588,na,0,0,0,0,0,0,0
442,4,44,50000WH,WH,50000,hdr,33.9,0.339,164.7,0,6588,na,301,50.4,16.2,18.9,*,66.6,0.16744186
443,4,44,50WH,WH,50,hdr,32.86,0.3286,164.7,0,6588,na,2,8.1,0,2.4,0,8.1,4.05
444,4,44,8RW,RW,8,hdr,40.09,0.4009,164.7,0,6588,na,0,0,0,0,0,0,0
445,4,44,500WH,WH,500,hdr,37.39,0.3739,164.7,0,6588,na,4,12.8,2.9,4.3,*,15.7,3.2
446,4,44,800RW,RW,800,hdr,39.34,0.3934,164.7,0,6588,na,na,10.1,na,3.6,na,na,na
447,4,44,80RW,RW,80,hdr,38.89,0.3889,164.7,0,6588,na,0,0,0,0,0,0,0
448,4,44,5000WH,WH,5000,hdr,39.85,0.3985,164.7,0,6588,na,27,26.4,8.6,10.7,*,35,0.977777778
449,4,44,8000RW,RW,8000,hdr,35.32,0.3532,164.7,0,6588,na,na,1.6,na,0.6,na,na,na
451,4,45,8RW,RW,8,ldshoots,29.62,0.2962,154.9,0,6196,na,0,0,0,0,0,0,0
452,4,45,50WH,WH,50,ldshoots,44.45,0.4445,154.9,0,6196,na,0,0,0,0,0,0,0
453,4,45,0RW,RW,0,ldshoots,37.3,0.373,154.9,0,6196,na,0,0,0,0,0,0,0
454,4,45,8000RW,RW,8000,ldshoots,43.65,0.4365,154.9,0,6196,na,na,19.2,na,10.6,na,na,na
455,4,45,50000WH,WH,50000,ldshoots,55.4,0.554,154.9,0,6196,na,13,9.3,2.8,2.6,0.6,12.1,0.715384615
456,4,45,500WH,WH,500,ldshoots,41.62,0.4162,154.9,0,6196,na,0,0,0,0,0,0,0
457,4,45,80RW,RW,80,ldshoots,49.09,0.4909,154.9,0,6196,na,0,0,0,0,0,0,0
458,4,45,5000WH,WH,5000,ldshoots,41.69,0.4169,154.9,0,6196,na,4,1.1,2,0.3,0.53,3.1,0.275
459,4,45,800RW,RW,800,ldshoots,36.96,0.3696,154.9,0,6196,na,0,0,0,0,0,0,0
511,5,51,8RW,RW,8,hdshoots,47,0.47,105.4,0,4216,na,0,0,0,0,0,0,0
512,5,51,80RW,RW,80,hdshoots,30.54,0.3054,105.4,0,4216,na,0,0,0,0,0,0,0
513,5,51,500WH,WH,500,hdshoots,28.66,0.2866,105.4,0,4216,na,1,0.3,1.4,0.1,*,1.7,0.3
514,5,51,0RW,RW,0,hdshoots,32.52,0.3252,105.4,0,4216,na,0,0,0,0,0,0,0
515,5,51,5000WH,WH,5000,hdshoots,38.11,0.3811,105.4,0,4216,na,3,1.4,0.3,0.7,*,1.7,0.466666667
516,5,51,50000WH,WH,50000,hdshoots,27.1,0.271,105.4,0,4216,na,8,0.9,0.9,0.6,*,1.8,0.1125
517,5,51,50WH,WH,50,hdshoots,34.43,0.3443,105.4,0,4216,na,0,0,0,0,0,0,0
518,5,51,800RW,RW,800,hdshoots,24.58,0.2458,105.4,0,4216,na,na,2.1,na,0.9,na,na,na
519,5,51,8000RW,RW,8000,hdshoots,25.08,0.2508,105.4,0,4216,na,na,0.1,na,0,na,na,na
521,5,52,50000WH,WH,50000,ldr,34.53,0.3453,159.7,0,6388,na,18,7.7,1.8,2.1,0.63,9.5,0.427777778
522,5,52,5000WH,WH,5000,ldr,42.68,0.4268,159.7,0,6388,na,1,1.7,1.9,0.8,0.49,3.6,1.7
523,5,52,50WH,WH,50,ldr,49.63,0.4963,159.7,0,6388,na,0,0,0,0,0,0,0
524,5,52,8000RW,RW,8000,ldr,42.18,0.4218,159.7,0,6388,na,na,15.9,na,6.4,na,na,na
525,5,52,500WH,WH,500,ldr,49.44,0.4944,159.7,0,6388,na,0,0,0,0,0,0,0
526,5,52,0RW,RW,0,ldr,35.15,0.3515,159.7,0,6388,na,na,1.8,na,0.5,na,na,na
527,5,52,800RW,RW,800,ldr,30.33,0.3033,159.7,0,6388,na,0,0,0,0,0,0,0
528,5,52,80RW,RW,80,ldr,38.34,0.3834,159.7,0,6388,na,0,0,0,0,0,0,0
529,5,52,8RW,RW,8,ldr,27.79,0.2779,159.7,0,6388,na,0,0,0,0,0,0,0
531,5,53,800RW,RW,800,hdr,25.16,0.2516,131.3,0,5252,na,0,0,0,0,0,0,0
532,5,53,5000WH,WH,5000,hdr,33.79,0.3379,131.3,0,5252,na,17,6,4.1,3.2,*,10.1,0.352941176
533,5,53,8RW,RW,8,hdr,37.89,0.3789,131.3,0,5252,na,0,0,0,0,0,0,0
534,5,53,8000RW,RW,8000,hdr,32.56,0.3256,131.3,0,5252,na,na,2.8,na,1.1,na,na,na
535,5,53,80RW,RW,80,hdr,33.16,0.3316,131.3,0,5252,na,0,0,0,0,0,0,0
536,5,53,500WH,WH,500,hdr,32.12,0.3212,131.3,0,5252,na,3,10.5,0.03,2,*,10.53,3.5
537,5,53,50WH,WH,50,hdr,26.38,0.2638,131.3,0,5252,na,2,0.05,0,0.06,0,0.05,0.025
538,5,53,0RW,RW,0,hdr,27.37,0.2737,131.3,0,5252,na,0,0,0,0,0,0,0
539,5,53,50000WH,WH,50000,hdr,25.63,0.2563,131.3,0,5252,na,58,21.8,7.4,8.1,*,29.2,0.375862069
541,5,54,50000WH,WH,50000,ldshoots,39.72,0.3972,131.8,0,5272,na,5,1.6,0.09,0.3,0,1.69,0.32
542,5,54,800RW,RW,800,ldshoots,34.7,0.347,131.8,0,5272,na,0,0,0,0,0,0,0
543,5,54,8000RW,RW,8000,ldshoots,43.42,0.4342,131.8,0,5272,na,na,4.8,na,1.4,na,na,na
544,5,54,0RW,RW,0,ldshoots,41.38,0.4138,131.8,0,5272,na,0,0,0,0,0,0,0
545,5,54,500WH,WH,500,ldshoots,42.23,0.4223,131.8,0,5272,na,0,0,0.03,na,0,0.03,0
546,5,54,80RW,RW,80,ldshoots,45.32,0.4532,131.8,0,5272,na,0,0,0,0,0,0,0
547,5,54,50WH,WH,50,ldshoots,45.49,0.4549,131.8,0,5272,na,0,0,0,0,0,0,0
548,5,54,8RW,RW,8,ldshoots,38.21,0.3821,131.8,0,5272,na,0,0,0,0,0,0,0
549,5,54,5000WH,WH,5000,ldshoots,34.84,0.3484,131.8,0,5272,na,2,3.9,0.6,1.3,0,4.5,1.95
551,5,55,800RW,RW,800,bare,0.2,0.002,0,17.7,0,708,0,0,0,0,0,0,0
552,5,55,5000WH,WH,5000,bare,1.65,0.0165,0,17.7,0,708,2,0.5,3.7,0.4,0.77,4.2,0.25
553,5,55,50000WH,WH,50000,bare,3.93,0.0393,0,17.7,0,708,18,9.8,5.2,3.8,0.82,15,0.544444444
554,5,55,0RW,RW,0,bare,2.65,0.0265,0,17.7,0,708,0,0,0,0,0,0,0
555,5,55,80RW,RW,80,bare,2.79,0.0279,0,17.7,0,708,0,0,0,0,0,0,0
556,5,55,8000RW,RW,8000,bare,1.55,0.0155,0,17.7,0,708,na,1,na,0.4,na,na,na
557,5,55,500WH,WH,500,bare,2.73,0.0273,0,17.7,0,708,0,0,0.3,0?,0,0.3,0
558,5,55,50WH,WH,50,bare,3.11,0.0311,0,17.7,0,708,0,0,0,0,0,0,0
559,5,55,8RW,RW,8,bare,2.91,0.0291,0,17.7,0,708,0,0,0,0,0,0,0