strip,block,cc,cc.dens,subsample,ir,br
11,1,ldr,ld,1,9.8,7.3
12,1,bare,ba,1,8.7,8.7
13,1,ldshoots,ld,1,29.2,17.8
14,1,hdr,hd,1,16,13.8
15,1,hdshoots,hd,1,19.6,19.2
21,2,hdshoots,hd,1,14.5,12
22,2,ldshoots,ld,1,15.6,17.4
23,2,bare,ba,1,5.5,7.6
24,2,hdr,hd,1,6.6,9.5
25,2,ldr,ld,1,10.2,11.6
31,3,ldshoots,ld,1,8.7,12.7
32,3,bare,ba,1,13.8,15.6
33,3,hdr,hd,1,8,8.4
34,3,hdshoots,hd,1,20.3,20.3
35,3,ldr,ld,1,12.3,10.5
41,4,bare,ba,1,8,8.4
42,4,hdshoots,hd,1,10.2,12.7
43,4,ldr,ld,1,9.8,8.4
44,4,hdr,hd,1,12,8.4
45,4,ldshoots,ld,1,13.8,12.7
51,5,hdshoots,hd,1,15.2,19.6
52,5,ldr,ld,1,9.8,9.5
53,5,hdr,hd,1,13.1,12.7
54,5,ldshoots,ld,1,14.9,18.9
55,5,bare,ba,1,13.1,11.3
11,1,ldr,ld,2,8,7.6
12,1,bare,ba,2,10.2,11.3
13,1,ldshoots,ld,2,16.3,13.1
14,1,hdr,hd,2,13.1,16
15,1,hdshoots,hd,2,19.2,19.2
21,2,hdshoots,hd,2,14.9,19.2
22,2,ldshoots,ld,2,10.2,20.3
23,2,bare,ba,2,9.5,5.1
24,2,hdr,hd,2,7.6,9.1
25,2,ldr,ld,2,10.5,10.5
31,3,ldshoots,ld,2,17.4,13.4
32,3,bare,ba,2,5.1,9.1
33,3,hdr,hd,2,13.1,11.3
34,3,hdshoots,hd,2,16,13.1
35,3,ldr,ld,2,12.3,13.4
41,4,bare,ba,2,15.6,8.4
42,4,hdshoots,hd,2,18.9,18.9
43,4,ldr,ld,2,11.6,9.5
44,4,hdr,hd,2,10.5,11.6
45,4,ldshoots,ld,2,12.7,17
51,5,hdshoots,hd,2,13.8,9.8
52,5,ldr,ld,2,10.9,11.6
53,5,hdr,hd,2,10.5,8.4
54,5,ldshoots,ld,2,15.2,15.2
55,5,bare,ba,2,9.5,8.4
11,1,ldr,ld,3,9.1,10.2
12,1,bare,ba,3,9.5,9.1
13,1,ldshoots,ld,3,17.8,18.5
14,1,hdr,hd,3,12.3,9.8
15,1,hdshoots,hd,3,18.1,20.7
21,2,hdshoots,hd,3,15.6,14.9
22,2,ldshoots,ld,3,17,18.1
23,2,bare,ba,3,12.7,4.4
24,2,hdr,hd,3,12,12.3
25,2,ldr,ld,3,13.4,8.4
31,3,ldshoots,ld,3,17,14.2
32,3,bare,ba,3,13.1,8.4
33,3,hdr,hd,3,8.7,8.7
34,3,hdshoots,hd,3,14.9,16
35,3,ldr,ld,3,10.5,9.8
41,4,bare,ba,3,12.7,8
42,4,hdshoots,hd,3,18.9,12
43,4,ldr,ld,3,12.3,9.8
44,4,hdr,hd,3,10.9,6.6
45,4,ldshoots,ld,3,16,18.9
51,5,hdshoots,hd,3,15.6,15.6
52,5,ldr,ld,3,12.3,10.9
53,5,hdr,hd,3,9.1,8.4
54,5,ldshoots,ld,3,15.6,17
55,5,bare,ba,3,15.2,10.2
11,1,ldr,ld,4,12.3,13.4
12,1,bare,ba,4,10.5,10.5
13,1,ldshoots,ld,4,16.3,22.5
14,1,hdr,hd,4,7.3,12
15,1,hdshoots,hd,4,17.8,18.9
21,2,hdshoots,hd,4,17,15.6
22,2,ldshoots,ld,4,15.2,25.2
23,2,bare,ba,4,4.4,12
24,2,hdr,hd,4,14.9,17.4
25,2,ldr,ld,4,9.5,11.3
31,3,ldshoots,ld,4,15.6,16.8
32,3,bare,ba,4,8.4,8.4
33,3,hdr,hd,4,9.5,4
34,3,hdshoots,hd,4,15.6,17.8
35,3,ldr,ld,4,11.3,8.4
41,4,bare,ba,4,9.8,10.5
42,4,hdshoots,hd,4,17,18.1
43,4,ldr,ld,4,11.3,9.8
44,4,hdr,hd,4,10.9,7.3
45,4,ldshoots,ld,4,16,18.9
51,5,hdshoots,hd,4,16.3,12.7
52,5,ldr,ld,4,11.3,11.6
53,5,hdr,hd,4,10.5,10.5
54,5,ldshoots,ld,4,15.2,15.2
55,5,bare,ba,4,10.5,14.2