date,day,t_avg_f,t_max_f,t_min_f,tot_precip_in,t_avg,t_max,t_min,gdd_8.9
4/1/24,92,46.2,50.5,41.9,0.49,7.9,10.3,5.5,0
4/2/24,93,45,47.3,42.7,1,7.2,8.5,5.9,0
4/3/24,94,40.5,43.8,37.2,1.65,4.7,6.6,2.9,0
4/4/24,95,36.9,45,28.8,0.08,2.7,7.2,-1.8,0
4/5/24,96,36.2,38.4,34,0.03,2.3,3.6,1.1,0
4/6/24,97,43.3,52.3,34.2,0,6.3,11.3,1.2,0
4/7/24,98,45,61.4,28.5,0,7.2,16.3,-1.9,0
4/8/24,99,45.2,58.3,32.1,0,7.3,14.6,0.1,0
4/9/24,100,53.9,74.8,33,0,12.2,23.8,0.6,3.311111111
4/10/24,101,62.2,67.7,56.7,0.02,16.8,19.8,13.7,7.911111111
4/11/24,102,60.7,65.7,55.7,0.43,15.9,18.7,13.2,7.011111111
4/12/24,103,54.3,63.1,45.5,1.24,12.4,17.3,7.5,3.511111111
4/13/24,104,46.8,53.6,40,0.11,8.2,12,4.4,0
4/14/24,105,59.6,78.6,40.7,0.23,15.3,25.9,4.8,6.411111111
4/15/24,106,60.8,71.5,50.1,0.11,16,21.9,10.1,7.111111111
4/16/24,107,56.1,77.3,34.9,0,13.4,25.2,1.6,4.511111111
4/17/24,108,55.3,64.4,46.2,0.28,12.9,18,7.9,4.011111111
4/18/24,109,58.1,65.8,50.4,0.1,14.5,18.8,10.2,5.611111111
4/19/24,110,51.3,55.1,47.4,0,10.7,12.8,8.6,1.811111111
4/20/24,111,47.3,57.1,37.5,0,8.5,13.9,3.1,0
4/21/24,112,35.6,44.8,26.5,0,2,7.1,-3.1,0
4/22/24,113,43.2,60.4,26,0,6.2,15.8,-3.3,0
4/23/24,114,49,67.2,30.8,0,9.4,19.6,-0.7,0.511111111
4/24/24,115,52.3,59.7,44.9,0.11,11.3,15.4,7.2,2.411111111
4/25/24,116,46.7,57,36.4,0,8.2,13.9,2.4,0
4/26/24,117,47.1,63.3,31,0,8.4,17.4,-0.6,0
4/27/24,118,49,52.5,45.6,0.1,9.4,11.4,7.6,0.511111111
4/28/24,119,64.2,79.3,49,0,17.9,26.3,9.4,9.011111111
4/29/24,120,67,82.7,51.2,0,19.4,28.2,10.7,10.51111111
4/30/24,121,66.2,77,55.4,0.11,19,25,13,10.11111111
5/1/24,122,62.8,77.6,47.9,0.01,17.1,25.3,8.8,8.211111111
5/2/24,123,68,83.9,52.1,0,20,28.8,11.2,11.11111111
5/3/24,124,61.6,73.8,49.4,0,16.4,23.2,9.7,7.511111111
5/4/24,125,53.5,58.3,48.7,0.28,11.9,14.6,9.3,3.011111111
5/5/24,126,51.3,55.9,46.8,0.23,10.7,13.3,8.2,1.811111111
5/6/24,127,65.5,76.3,54.7,0,18.6,24.6,12.6,9.711111111
5/7/24,128,65.8,73.5,58,0,18.8,23.1,14.4,9.911111111
5/8/24,129,69.2,77.5,60.8,0.27,20.7,25.3,16,11.81111111
5/9/24,130,53.3,59.2,47.4,0.55,11.8,15.1,8.6,2.911111111
5/10/24,131,48,50.5,45.6,1.1,8.9,10.3,7.6,0.011111111
5/11/24,132,51.8,57.7,45.9,0.34,11,14.3,7.7,2.111111111
5/12/24,133,53.5,59.5,47.5,0,11.9,15.3,8.6,3.011111111
5/13/24,134,57.1,75.1,39.1,0,13.9,23.9,3.9,5.011111111
5/14/24,135,58.5,63.8,53.3,0.1,14.7,17.7,11.8,5.811111111
5/15/24,136,60,63,57.1,0.12,15.6,17.2,13.9,6.711111111
5/16/24,137,63.2,72.5,53.9,0,17.3,22.5,12.2,8.411111111
5/17/24,138,59.6,65.1,54.2,0,15.3,18.4,12.3,6.411111111
5/18/24,139,63.3,68.3,58.3,0.03,17.4,20.2,14.6,8.511111111
5/19/24,140,68,77.5,58.5,0,20,25.3,14.7,11.11111111
5/20/24,141,65.6,80.9,50.3,0,18.7,27.2,10.2,9.811111111
5/21/24,142,69.4,82.6,56.2,0,20.8,28.1,13.4,11.91111111
5/22/24,143,69.8,81,58.7,0.06,21,27.2,14.8,12.11111111
5/23/24,144,66.8,76.5,57,0.05,19.3,24.7,13.9,10.41111111
5/24/24,145,66.7,80.4,53,0.13,19.3,26.9,11.7,10.41111111
5/25/24,146,65,79.6,50.4,0.11,18.3,26.4,10.2,9.411111111
5/26/24,147,67.2,78.4,55.9,0.23,19.6,25.8,13.3,10.71111111
5/27/24,148,69.7,76.9,62.4,0.2,20.9,24.9,16.9,12.01111111
5/28/24,149,62.8,71.1,54.6,0.05,17.1,21.7,12.6,8.211111111
5/29/24,150,58.5,69.3,47.8,0.07,14.7,20.7,8.8,5.811111111
5/30/24,151,58.8,68.2,49.3,0.06,14.9,20.1,9.6,6.011111111
5/31/24,152,54.6,72.1,37.1,0,12.6,22.3,2.8,3.711111111
6/1/24,153,60.6,78.6,42.6,0,15.9,25.9,5.9,7.011111111
6/2/24,154,62,74.8,49.2,0,16.7,23.8,9.6,7.811111111
6/3/24,155,71.2,82,60.3,0,21.8,27.8,15.7,12.91111111
6/4/24,156,70.8,85.7,55.9,0,21.6,29.8,13.3,12.71111111
6/5/24,157,71.4,75.6,67.2,0.12,21.9,24.2,19.6,13.01111111
6/6/24,158,71.4,79.8,63,0.1,21.9,26.6,17.2,13.01111111
6/7/24,159,62.9,70.7,55,0,17.2,21.5,12.8,8.311111111
6/8/24,160,64.1,74.5,53.7,0,17.8,23.6,12.1,8.911111111
6/9/24,161,63.2,70.9,55.4,0.01,17.3,21.6,13,8.411111111
6/10/24,162,58,66.5,49.5,0,14.4,19.2,9.7,5.511111111
6/11/24,163,58.1,66.3,49.9,0,14.5,19.1,9.9,5.611111111
6/12/24,164,61,78.4,43.6,0,16.1,25.8,6.4,7.211111111
6/13/24,165,67,84.8,49.1,0,19.4,29.3,9.5,10.51111111
6/14/24,166,67.3,78,56.6,0.04,19.6,25.6,13.7,10.71111111
6/15/24,167,66,79,53.1,0,18.9,26.1,11.7,10.01111111
6/16/24,168,65.2,80.9,49.4,0,18.4,27.2,9.7,9.511111111
6/17/24,169,78.6,89.2,68,0.04,25.9,31.8,20,17.01111111
6/18/24,170,76.7,89.9,63.4,0.02,24.8,32.2,17.4,15.91111111
6/19/24,171,79.8,89.7,69.8,0,26.6,32.1,21,17.71111111
6/20/24,172,76.4,90.8,62,0,24.7,32.7,16.7,15.81111111
6/21/24,173,78.4,91.8,65,0.2,25.8,33.2,18.3,16.91111111
6/22/24,174,79.6,92.4,66.8,0,26.4,33.6,19.3,17.51111111
6/23/24,175,77.3,85,69.5,0.07,25.2,29.4,20.8,16.31111111
6/24/24,176,70.8,81.5,60.2,0,21.6,27.5,15.7,12.71111111
6/25/24,177,66.6,82.9,50.3,0,19.2,28.3,10.2,10.31111111
6/26/24,178,76.5,88.1,64.9,0.49,24.7,31.2,18.3,15.81111111
6/27/24,179,68.6,77.6,59.6,0.02,20.3,25.3,15.3,11.41111111
6/28/24,180,64.7,78.5,50.9,0,18.2,25.8,10.5,9.311111111
6/29/24,181,73.5,78.9,68.1,1.35,23.1,26.1,20.1,14.21111111
6/30/24,182,71.8,83.4,60.3,0.11,22.1,28.6,15.7,13.21111111
7/1/24,183,64.5,73.3,55.7,0,18.1,22.9,13.2,9.211111111
7/2/24,184,63.5,78.2,48.8,0,17.5,25.7,9.3,8.611111111
7/3/24,185,73.3,83.3,63.3,0,22.9,28.5,17.4,14.01111111
7/4/24,186,78.5,87,70.1,0.06,25.8,30.6,21.2,16.91111111
7/5/24,187,77.6,85.4,69.8,0.26,25.3,29.7,21,16.41111111
7/6/24,188,78.2,87,69.3,0,25.7,30.6,20.7,16.81111111
7/7/24,189,74,87.9,60.1,0,23.3,31.1,15.6,14.41111111
7/8/24,190,75.6,88.8,62.4,0,24.2,31.6,16.9,15.31111111
7/9/24,191,79,91.3,66.7,0,26.1,32.9,19.3,17.21111111
7/10/24,192,81.8,90.4,73.3,0.1,27.7,32.4,22.9,18.81111111
7/11/24,193,71.2,75.3,67,0,21.8,24.1,19.4,12.91111111
7/12/24,194,74.6,88.7,60.5,0,23.7,31.5,15.8,14.81111111
7/13/24,195,78,93.5,62.5,0,25.6,34.2,16.9,16.71111111
7/14/24,196,78.4,92.5,64.3,0,25.8,33.6,17.9,16.91111111
7/15/24,197,80.2,93.9,66.5,0,26.8,34.4,19.2,17.91111111
7/16/24,198,79.5,93.5,65.5,0,26.4,34.2,18.6,17.51111111
7/17/24,199,73,80.8,65.2,0.53,22.8,27.1,18.4,13.91111111
7/18/24,200,72,82.3,61.7,0,22.2,27.9,16.5,13.31111111
7/19/24,201,68,84.4,51.5,0,20,29.1,10.8,11.11111111
7/20/24,202,70.1,81.9,58.2,0,21.2,27.7,14.6,12.31111111
7/21/24,203,73.5,86.9,60.1,0,23.1,30.5,15.6,14.21111111
7/22/24,204,71.3,81.6,61,0.97,21.8,27.6,16.1,12.91111111
7/23/24,205,71.6,80.5,62.7,0.63,22,26.9,17.1,13.11111111
7/24/24,206,75.1,84,66.2,0,23.9,28.9,19,15.01111111
7/25/24,207,73.3,82.1,64.4,0,22.9,27.8,18,14.01111111
7/26/24,208,65.8,80.2,51.5,0,18.8,26.8,10.8,9.911111111
7/27/24,209,67.7,83.1,52.2,0,19.8,28.4,11.2,10.91111111
7/28/24,210,70.5,88.8,52.3,0,21.4,31.6,11.3,12.51111111
7/29/24,211,74.7,92,57.3,0,23.7,33.3,14.1,14.81111111
7/30/24,212,72.9,79.4,66.4,1.72,22.7,26.3,19.1,13.81111111
7/31/24,213,77.5,86.5,68.6,0.09,25.3,30.3,20.3,16.41111111
8/1/24,214,78.5,92.5,64.4,0,25.8,33.6,18,16.91111111
8/2/24,215,74.6,81.9,67.3,0.31,23.7,27.7,19.6,14.81111111
8/3/24,216,75.8,85.4,66.3,0.76,24.3,29.7,19.1,15.41111111
8/4/24,217,75.9,84.7,67.1,0,24.4,29.3,19.5,15.51111111
8/5/24,218,73.8,85.8,61.8,0,23.2,29.9,16.6,14.31111111
8/6/24,219,74.7,82.5,66.9,1.56,23.7,28.1,19.4,14.81111111
8/7/24,220,66.5,69,63.9,0.13,19.2,20.6,17.7,10.31111111
8/8/24,221,67.3,71.1,63.4,0.02,19.6,21.7,17.4,10.71111111
8/9/24,222,73.6,80.9,66.2,2.73,23.1,27.2,19,14.21111111
8/10/24,223,67.6,76,59.2,0,19.8,24.4,15.1,10.91111111
8/11/24,224,64.5,74.2,54.7,0,18.1,23.4,12.6,9.211111111
8/12/24,225,63,75.2,50.7,0,17.2,24,10.4,8.311111111
8/13/24,226,64.1,77.8,50.4,0,17.8,25.4,10.2,8.911111111
8/14/24,227,67.2,81.3,53,0,19.6,27.4,11.7,10.71111111
8/15/24,228,69.7,85.6,53.7,0,20.9,29.8,12.1,12.01111111
8/16/24,229,66.8,79.4,54.3,0.09,19.3,26.3,12.4,10.41111111
8/17/24,230,71.4,77.1,65.8,2.24,21.9,25.1,18.8,13.01111111
8/18/24,231,71.8,78.6,64.9,0.21,22.1,25.9,18.3,13.21111111
8/19/24,232,65.5,70.5,60.6,0.02,18.6,21.4,15.9,9.711111111
8/20/24,233,57.2,64.2,50.2,0,14,17.9,10.1,5.111111111
8/21/24,234,55.4,67.4,43.3,0,13,19.7,6.3,4.111111111
8/22/24,235,60.1,73.5,46.7,0,15.6,23.1,8.2,6.711111111
8/23/24,236,61.2,77.1,45.3,0,16.2,25.1,7.4,7.311111111
8/24/24,237,65.8,83,48.7,0,18.8,28.3,9.3,9.911111111
8/25/24,238,70.3,84.2,56.4,0,21.3,29,13.6,12.41111111
8/26/24,239,71.3,84.3,58.2,0,21.8,29.1,14.6,12.91111111
8/27/24,240,71.3,86.2,56.3,0,21.8,30.1,13.5,12.91111111
8/28/24,241,78.2,87.4,69,0,25.7,30.8,20.6,16.81111111
8/29/24,242,74.3,83,65.5,0.19,23.5,28.3,18.6,14.61111111
8/30/24,243,67.7,70.5,64.8,0.02,19.8,21.4,18.2,10.91111111
8/31/24,244,69,71.9,66,0.21,20.6,22.2,18.9,11.71111111
9/1/24,245,72.5,82.5,62.4,0,22.5,28.1,16.9,13.61111111
9/2/24,246,60.9,71.2,50.6,0.03,16.1,21.8,10.3,7.211111111
9/3/24,247,56,72.1,40,0,13.3,22.3,4.4,4.411111111
9/4/24,248,56.6,71.6,41.6,0,13.7,22,5.3,4.811111111
9/5/24,249,57.9,72.1,43.8,0,14.4,22.3,6.6,5.511111111
9/6/24,250,60.5,75.3,45.8,0,15.8,24.1,7.7,6.911111111
9/7/24,251,58.6,66.8,50.4,0.06,14.8,19.3,10.2,5.911111111
9/8/24,252,54.8,64.9,44.7,0,12.7,18.3,7.1,3.811111111
9/9/24,253,55.6,71.5,39.7,0,13.1,21.9,4.3,4.211111111
9/10/24,254,62.8,77.8,47.8,0,17.1,25.4,8.8,8.211111111
9/11/24,255,61.6,78.6,44.7,0,16.4,25.9,7.1,7.511111111
9/12/24,256,63.6,76.8,50.5,0,17.6,24.9,10.3,8.711111111
9/13/24,257,62.8,76.6,48.9,0,17.1,24.8,9.4,8.211111111
9/14/24,258,64,80.2,47.8,0,17.8,26.8,8.8,8.911111111
9/15/24,259,66.1,77.4,54.8,0,18.9,25.2,12.7,10.01111111
9/16/24,260,63.4,74.6,52.2,0,17.4,23.7,11.2,8.511111111
9/17/24,261,61.2,70.6,51.8,0,16.2,21.4,11,7.311111111
9/18/24,262,65.5,71,59.9,0.01,18.6,21.7,15.5,9.711111111
9/19/24,263,68.8,81.6,55.9,0,20.4,27.6,13.3,11.51111111
9/20/24,264,65.5,83.3,47.7,0,18.6,28.5,8.7,9.711111111
9/21/24,265,65,74.8,55.3,0,18.3,23.8,12.9,9.411111111
9/22/24,266,62.8,69.1,56.5,0,17.1,20.6,13.6,8.211111111
9/23/24,267,60.9,63.7,58,0.41,16.1,17.6,14.4,7.211111111
9/24/24,268,56.9,58.4,55.4,0.12,13.8,14.7,13,4.911111111
9/25/24,269,60.3,62.9,57.7,0.32,15.7,17.2,14.3,6.811111111
9/26/24,270,67,70.7,63.2,0.49,19.4,21.5,17.3,10.51111111
9/27/24,271,64.7,66.7,62.7,0.07,18.2,19.3,17.1,9.311111111
9/28/24,272,65,67.2,62.7,0.03,18.3,19.6,17.1,9.411111111
9/29/24,273,62,63.9,60.2,0.26,16.7,17.7,15.7,7.811111111
9/30/24,274,60.8,62.8,58.7,0.43,16,17.1,14.8,7.111111111
10/1/24,275,58.3,59.8,56.7,0.53,14.6,15.4,13.7,5.711111111